iter	Passed	Remaining
469	712	803
470	713	801
471	714	799
472	715	797
473	717	795
474	718	793
475	719	791
476	720	790
477	721	788
478	722	786
479	723	784
480	725	782
481	726	780
482	727	778
483	728	776
484	729	774
485	731	773
486	732	771
487	733	769
488	734	767
489	735	766
490	737	764
491	738	762
492	739	760
493	740	758
494	741	756
495	742	754
496	743	752
497	745	751
498	746	749
499	747	747
500	748	745
501	750	744
502	751	742
503	752	740
504	753	738
505	754	736
506	755	734
507	756	733
508	757	731
509	758	729
510	760	727
511	761	725
512	762	724
513	764	722
514	765	720
515	766	719
516	767	717
517	768	715
518	769	713
519	770	711
520	771	709
521	773	707
522	774	706
523	775	704
524	776	702
525	777	700
526	779	699
527	780	697
528	781	695
529	782	693
530	783	692
531	784	690
532	785	688
533	786	686
534	787	684
535	789	683
536	790	681
537	791	679
538	792	678
539	794	676
540	795	674
541	796	672
542	797	671
543	798	669
544	799	667
545	801	666
546	802	664
547	803	662
548	804	661
549	805	659
550	807	657
551	808	655
552	809	654
553	810	652
554	811	650
555	812	649
556	813	647
557	814	645
558	815	643
559	817	642
560	818	640
561	819	638
562	820	637
563	822	635
564	823	633
565	824	632
566	825	630
567	826	628
568	827	627
569	829	625
570	830	623
571	831	622
572	832	620
573	833	618
574	835	617
575	836	615
576	837	614
577	838	612
578	840	610
579	841	609
580	842	607
581	843	605
582	844	604
583	845	602
584	847	600
585	848	599
586	849	597
587	851	596
588	852	594
589	853	593
590	854	591
591	855	589
592	856	588
593	857	586
594	861	586
595	862	584
596	864	583
597	866	582
598	867	581
599	869	579
600	871	578
601	872	577
602	874	575
603	875	573
604	876	572
605	877	570
606	878	568
607	880	567
608	881	565
609	882	564
610	883	562
611	884	560
612	885	559
613	887	557
614	888	556
615	889	554
616	890	553
617	892	551
618	893	549
619	894	548
620	895	546
621	896	544
622	897	543
623	898	541
624	900	540
625	901	538
626	902	537
627	903	535
628	905	533
629	906	532
630	907	530
631	908	529
632	910	527
633	911	526
634	912	524
635	913	522
636	914	521
637	915	519
638	917	518
639	918	516
640	919	515
641	921	513
642	922	512
643	923	510
644	924	508
645	925	507
646	926	505
647	927	504
648	929	502
649	930	500
650	931	499
651	932	497
652	933	496
653	935	494
654	936	493
655	937	491
656	938	490
657	939	488
658	940	486
659	941	485
660	942	483
661	943	481
662	945	480
663	946	478
664	947	477
665	948	475
666	949	474
667	950	472
668	952	471
669	953	469
670	954	468
671	955	466
672	956	464
673	957	463
674	958	461
675	960	460
676	961	458
677	963	457
678	964	455
679	965	454
680	967	452
681	968	451
682	969	449
683	970	448
684	971	446
685	972	445
686	973	443
687	976	442
688	977	441
689	978	439
690	979	438
691	981	436
692	982	435
693	983	433
694	985	432
695	986	430
696	987	429
697	988	427
698	990	426
699	991	425
700	993	423
701	994	422
702	995	420
703	996	419
704	997	417
705	999	416
706	1000	414
707	1001	413
708	1002	411
709	1004	410
710	1005	408
711	1006	407
712	1008	405
713	1009	404
714	1010	402
715	1012	401
716	1013	399
717	1014	398
718	1016	397
719	1017	395
720	1019	394
721	1021	393
722	1022	391
723	1023	390
724	1025	388
725	1026	387
726	1027	385
727	1029	384
728	1030	383
729	1031	381
730	1033	380
731	1035	379
732	1036	377
733	1037	376
734	1039	374
735	1040	373
736	1041	371
737	1042	370
738	1044	368
739	1045	367
740	1046	365
741	1047	364
742	1048	362
743	1050	361
744	1051	359
745	1052	358
746	1054	357
747	1055	355
748	1056	354
749	1057	352
750	1059	351
751	1060	349
752	1061	348
753	1062	346
754	1064	345
755	1065	343
756	1066	342
757	1067	340
758	1069	339
759	1070	337
760	1071	336
761	1072	334
762	1073	333
763	1074	331
764	1075	330
765	1076	328
766	1078	327
767	1079	326
768	1080	324
769	1081	323
